[2025-05-25 20:23:27] Starter gyro-kalibrering
[2025-05-25 20:23:33] Gyro offset målt: -0.15620 grader/s
[2025-05-25 20:23:33] Gyro-offset lagret til gyro_offset.txt.
[2025-05-25 20:23:33] Starter kompass-kalibrering
[2025-05-25 20:23:33] Starter rotasjon mot venstre
[2025-05-25 20:23:36] Lest kompass X=662, Y=-526
[2025-05-25 20:23:36] Lest kompass X=700, Y=-513
[2025-05-25 20:23:36] Lest kompass X=672, Y=-558
[2025-05-25 20:23:36] Lest kompass X=695, Y=-548
[2025-05-25 20:23:36] Lest kompass X=675, Y=-521
[2025-05-25 20:23:36] Lest kompass X=690, Y=-508
[2025-05-25 20:23:36] Lest kompass X=685, Y=-531
[2025-05-25 20:23:36] Lest kompass X=677, Y=-518
[2025-05-25 20:23:36] Lest kompass X=692, Y=-511
[2025-05-25 20:23:36] Lest kompass X=692, Y=-498
[2025-05-25 20:23:36] Lest kompass X=685, Y=-518
[2025-05-25 20:23:36] Lest kompass X=695, Y=-496
[2025-05-25 20:23:36] Lest kompass X=707, Y=-501
[2025-05-25 20:23:36] Lest kompass X=682, Y=-491
[2025-05-25 20:23:36] Lest kompass X=687, Y=-488
[2025-05-25 20:23:36] Lest kompass X=665, Y=-526
[2025-05-25 20:23:36] Lest kompass X=675, Y=-503
[2025-05-25 20:23:36] Lest kompass X=680, Y=-513
[2025-05-25 20:23:36] Lest kompass X=682, Y=-483
[2025-05-25 20:23:36] Lest kompass X=677, Y=-508
[2025-05-25 20:23:36] Lest kompass X=675, Y=-503
[2025-05-25 20:23:36] Lest kompass X=710, Y=-508
[2025-05-25 20:23:36] Lest kompass X=690, Y=-488
[2025-05-25 20:23:36] Lest kompass X=707, Y=-493
[2025-05-25 20:23:36] Lest kompass X=710, Y=-523
[2025-05-25 20:23:36] Lest kompass X=702, Y=-516
[2025-05-25 20:23:36] Lest kompass X=702, Y=-533
[2025-05-25 20:23:36] Lest kompass X=710, Y=-483
[2025-05-25 20:23:36] Lest kompass X=702, Y=-506
[2025-05-25 20:23:36] Lest kompass X=695, Y=-472
[2025-05-25 20:23:36] Lest kompass X=697, Y=-483
[2025-05-25 20:23:36] Lest kompass X=692, Y=-513
[2025-05-25 20:23:36] Lest kompass X=680, Y=-513
[2025-05-25 20:23:36] Lest kompass X=680, Y=-531
[2025-05-25 20:23:36] Lest kompass X=702, Y=-516
[2025-05-25 20:23:36] Lest kompass X=680, Y=-516
[2025-05-25 20:23:36] Lest kompass X=702, Y=-521
[2025-05-25 20:23:36] Lest kompass X=712, Y=-546
[2025-05-25 20:23:36] Lest kompass X=702, Y=-513
[2025-05-25 20:23:36] Lest kompass X=705, Y=-503
[2025-05-25 20:23:36] Lest kompass X=685, Y=-496
[2025-05-25 20:23:36] Lest kompass X=672, Y=-503
[2025-05-25 20:23:36] Lest kompass X=672, Y=-508
[2025-05-25 20:23:36] Lest kompass X=662, Y=-496
[2025-05-25 20:23:36] Lest kompass X=682, Y=-521
[2025-05-25 20:23:36] Lest kompass X=675, Y=-503
[2025-05-25 20:23:36] Lest kompass X=687, Y=-546
[2025-05-25 20:23:36] Lest kompass X=680, Y=-508
[2025-05-25 20:23:36] Lest kompass X=675, Y=-526
[2025-05-25 20:23:36] Lest kompass X=665, Y=-521
[2025-05-25 20:23:36] Lest kompass X=680, Y=-528
[2025-05-25 20:23:36] Lest kompass X=690, Y=-506
[2025-05-25 20:23:36] Lest kompass X=657, Y=-506
[2025-05-25 20:23:36] Lest kompass X=657, Y=-501
[2025-05-25 20:23:36] Lest kompass X=675, Y=-518
[2025-05-25 20:23:36] Lest kompass X=672, Y=-548
[2025-05-25 20:23:36] Lest kompass X=660, Y=-501
[2025-05-25 20:23:36] Lest kompass X=667, Y=-518
[2025-05-25 20:23:36] Lest kompass X=675, Y=-531
[2025-05-25 20:23:37] Lest kompass X=672, Y=-541
[2025-05-25 20:23:37] Lest kompass X=675, Y=-521
[2025-05-25 20:23:37] Lest kompass X=697, Y=-556
[2025-05-25 20:23:37] Lest kompass X=685, Y=-531
[2025-05-25 20:23:37] Lest kompass X=690, Y=-508
[2025-05-25 20:23:37] Lest kompass X=657, Y=-508
[2025-05-25 20:23:37] Lest kompass X=692, Y=-477
[2025-05-25 20:23:37] Lest kompass X=667, Y=-521
[2025-05-25 20:23:37] Lest kompass X=682, Y=-501
[2025-05-25 20:23:37] Lest kompass X=690, Y=-521
[2025-05-25 20:23:37] Lest kompass X=697, Y=-506
[2025-05-25 20:23:37] Lest kompass X=687, Y=-528
[2025-05-25 20:23:37] Lest kompass X=697, Y=-508
[2025-05-25 20:23:37] Lest kompass X=677, Y=-483
[2025-05-25 20:23:37] Lest kompass X=692, Y=-501
[2025-05-25 20:23:37] Lest kompass X=680, Y=-501
[2025-05-25 20:23:37] Lest kompass X=667, Y=-496
[2025-05-25 20:23:37] Lest kompass X=692, Y=-477
[2025-05-25 20:23:37] Lest kompass X=690, Y=-503
[2025-05-25 20:23:37] Lest kompass X=680, Y=-503
[2025-05-25 20:23:37] Lest kompass X=677, Y=-521
[2025-05-25 20:23:37] Lest kompass X=692, Y=-516
[2025-05-25 20:23:37] Lest kompass X=685, Y=-523
[2025-05-25 20:23:37] Lest kompass X=687, Y=-518
[2025-05-25 20:23:37] Lest kompass X=705, Y=-521
[2025-05-25 20:23:37] Lest kompass X=697, Y=-526
[2025-05-25 20:23:37] Lest kompass X=705, Y=-523
[2025-05-25 20:23:37] Lest kompass X=680, Y=-511
