[2025-04-28 22:54:53] [SOK] Beste aapning pa 8.4 grader, avstand 442.0 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -3e+01 grader, korrigerer med omega=-30.3.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 15.8 grader, avstand 443.0 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -3e+01 grader, korrigerer med omega=-25.2.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 15.8 grader, avstand 443.0 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -3e+01 grader, korrigerer med omega=-26.0.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 15.8 grader, avstand 443.0 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -3e+01 grader, korrigerer med omega=-26.6.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 15.8 grader, avstand 443.0 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -3e+01 grader, korrigerer med omega=-26.9.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 6.6 grader, avstand 439.8 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -4e+01 grader, korrigerer med omega=-36.7.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 6.6 grader, avstand 439.8 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -4e+01 grader, korrigerer med omega=-37.3.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 6.6 grader, avstand 439.8 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -4e+01 grader, korrigerer med omega=-38.1.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 6.6 grader, avstand 439.8 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -4e+01 grader, korrigerer med omega=-39.3.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 3.2 grader, avstand 431.0 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -4e+01 grader, korrigerer med omega=-44.4.
[2025-04-28 22:54:53] [SOK] Beste aapning pa 3.2 grader, avstand 431.0 cm.
[2025-04-28 22:54:53] [KORRIGERING] Avviker fra mål med -5e+01 grader, korrigerer med omega=-46.5.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 3.2 grader, avstand 431.0 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -5e+01 grader, korrigerer med omega=-48.5.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 3.2 grader, avstand 431.0 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -5e+01 grader, korrigerer med omega=-50.5.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 0.0 grader, avstand 421.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -6e+01 grader, korrigerer med omega=-55.5.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 0.0 grader, avstand 421.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -6e+01 grader, korrigerer med omega=-56.9.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 0.0 grader, avstand 421.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -6e+01 grader, korrigerer med omega=-58.6.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 0.0 grader, avstand 421.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -6e+01 grader, korrigerer med omega=-60.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 345.7 grader, avstand 397.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-76.5.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 345.7 grader, avstand 397.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-78.9.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 345.7 grader, avstand 397.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-82.1.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 345.7 grader, avstand 397.8 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -8e+01 grader, korrigerer med omega=-84.8.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 334.5 grader, avstand 386.5 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 334.5 grader, avstand 386.5 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 334.5 grader, avstand 386.5 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 334.5 grader, avstand 386.5 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -1e+02 grader, korrigerer med omega=-90.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 59.6 grader, avstand 430.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -3e+01 grader, korrigerer med omega=-28.4.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 59.6 grader, avstand 430.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -3e+01 grader, korrigerer med omega=-32.9.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 59.6 grader, avstand 430.2 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -4e+01 grader, korrigerer med omega=-36.7.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 56.2 grader, avstand 478.0 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -4e+01 grader, korrigerer med omega=-44.0.
[2025-04-28 22:54:54] [SOK] Beste aapning pa 56.2 grader, avstand 478.0 cm.
[2025-04-28 22:54:54] [KORRIGERING] Avviker fra mål med -5e+01 grader, korrigerer med omega=-47.4.
[2025-04-28 22:54:54] [TILBAKE TIL IDLE] Kjoring mot aapning ferdig. Heading nå: 104.5 grader.
